323	1310	1044	1172	1202	897	1283	829	257	288	592	251	196	1100	1928	805	116	712	79	1096
1040	1421	584	1727	1675	26	1709	266	1385	1631	889	1250	1212	1415	683	1580	244	1628	1652	242
842	695	1354	1722	866	1368	904	1624	65	1049	1477	1755	1078	1014	32	1875	344	102	1426	1888
13	1471	1316	1764	1079	1726	734	115	175	423	467	422	864	1771	944	1575	1184	1000	119	1155
577	404	21	1159	1552	1598	659	999	973	533	662	398	1498	781	1912	1546	1680	463	1048	1963
1290	934	1743	451	1231	245	597	1647	1151	170	1017	1428	573	156	1878	559	1895	362	104	307
1024	504	1111	338	1960	1756	1447	1678	95	965	500	1577	658	1251	96	753	1313	1761	568	44
1232	346	896	1045	1338	1949	1263	1431	697	1262	1802	1584	808	532	1514	154	1019	1674	1657	473
461	859	63	1556	246	80	1803	458	650	770	626	1574	1612	516	1461	1146	1360	1751	256	1005
1880	1394	1413	373	1407	714	1191	1834	1294	631	1387	1845	233	1843	1609	1589	165	1773	603	1820
1475	427	1435	560	1266	1768	1798	1070	1424	1724	613	798	564	231	586	1463	261	540	1951	690
887	1213	640	384	1195	189	38	565	931	265	1989	1559	1812	445	783	627	1920	1081	1284	1719
1986	777	570	464	1402	1393	1765	225	1599	604	99	634	183	1230	1532	229	1543	1325	1452	1006
671	875	919	37	286	153	525	1450	1342	1959	391	851	566	0	1667	1381	217	117	1638	6
1869	1595	48	880	1077	8	118	625	1671	927	455	1846	1060	1573	922	1222	1003	1975	1524	1361
1519	1620	1537	1154	1985	334	551	188	297	267	882	794	1122	1603	1747	1746	209	1992	726	1586
1510	814	1369	1021	1185	1730	1355	1253	389	284	1648	1955	340	162	1347	1946	101	222	1994	1516
18	1164	1607	1784	1866	210	281	1978	408	1615	1731	605	607	1901	1849	561	477	816	1138	264
835	1037	1499	476	462	1276	1236	1823	1873	1464	1484	216	412	370	642	339	806	1790	1666	1925
755	884	921	497	1398	1292	269	74	804	1057	888	515	892	1244	1778	262	692	1334	1350	1769
1655	380	768	1460	980	409	651	524	75	637	754	825	1297	1069	706	1541	125	646	1619	972
111	258	239	88	1441	1527	416	1429	1793	190	1101	61	1683	606	767	1970	1583	393	1987	446
326	1777	1885	1225	1984	1139	230	1902	832	1596	1491	277	978	1509	1687	1291	1472	87	1641	1692
390	1505	27	860	1474	1962	550	673	31	437	22	1469	50	433	962	1288	1848	1109	1913	1611
1838	341	223	1786	191	1714	1493	849	1829	1145	820	1896	1971	112	1923	1033	413	1592	1752	441
1736	372	1961	1389	51	665	1115	46	1478	556	1336	924	1482	1308	1285	302	709	1323	1677	1061
1356	448	1853	1679	1525	1974	386	234	1008	535	521	1633	1468	1540	1075	141	1488	1742	155	1083
365	72	1528	906	172	948	1766	187	506	802	1341	691	289	1399	1664	992	1886	47	1656	91
1625	1247	1010	1345	215	1682	1860	481	1282	1455	1585	1023	1606	1732	741	1969	677	1883	527	583
865	1702	1997	1988	1538	1686	382	1495	1095	314	1940	1486	1917	1483	759	247	1240	377	616	528
1735	656	1604	180	801	1774	1613	1862	1706	970	1015	395	1927	589	1644	1459	1617	376	1733	299
296	1837	318	1445	1120	548	1462	1162	1114	1271	1999	1645	936	460	1973	1187	20	748	1710	1914
1032	796	1614	667	1966	670	1329	1416	1593	248	213	1957	1241	472	1775	1233	702	594	1827	55
1178	1303	985	858	1708	35	1218	449	1440	1762	1190	1833	958	1140	1473	1086	1511	131	674	204
1371	363	1672	1685	149	1922	911	356	1964	731	818	1367	343	1299	669	620	1630	789	1566	893
121	1695	1937	1031	995	713	1093	1906	1908	1208	1221	1549	1296	335	1618	1763	1046	127	208	553
1980	1881	491	615	762	1649	1800	1945	1693	1819	1239	1637	1448	1533	1055	1601	957	1346	1770	898
765	1295	791	53	114	227	1660	1214	1327	1779	1783	1515	1013	1090	330	358	316	1562	1193	1857
152	1126	1826	1728	1855	514	295	1487	109	352	350	1332	1485	1642	1594	144	862	1438	410	1165
178	93	654	1632	546	1326	158	1825	1410	1932	1782	337	1859	275	43	1309	364	1981	1259	1301
1841	1953	1317	1030	1597	469	471	1921	1210	1867	578	1977	1412	1135	1300	1041	1916	1830	1072	1128
1993	538	588	1581	614	1234	1265	732	629	278	1870	1723	1379	317	817	1018	347	253	895	167
913	1579	795	399	450	1983	36	1884	1758	1476	328	378	891	1248	308	1907	60	1449	961	1423
738	863	971	649	868	1027	1550	621	1740	1256	1302	201	587	1002	1047	701	1805	1622	749	1608
1872	1712	1392	496	1007	1105	1716	834	303	406	735	1211	1591	877	1028	1944	792	107	766	719
531	1414	1665	1697	1858	1836	763	1929	443	1229	764	1009	1844	774	946	81	1116	1071	171	39
1189	357	1787	292	435	1796	160	752	1167	1344	1915	721	272	1935	1806	1457	396	894	1948	241
1252	1894	45	1996	1322	1417	874	543	285	1673	1508	182	941	1470	1809	478	505	845	809	1269
508	250	1568	1749	1066	1864	1863	1456	1903	202	786	1899	746	470	1998	797	1067	601	142	599
1512	1501	1807	557	1335	260	1124	1279	937	822	84	1196	1754	387	1555	28	1991	729	64	582
838	1570	1207	98	1646	1204	1529	1068	324	1378	501	226	827	110	1799	623	1370	1419	351	1910
641	1434	1038	71	1400	1639	685	279	490	1175	1121	1404	693	608	1976	1713	157	1089	1042	1245
1750	254	1545	206	1496	1952	1662	483	841	1760	1194	12	1082	219	1832	235	840	1016	1513	1076
1817	1522	771	428	1176	221	306	1199	660	1058	24	837	704	1811	1600	282	526	1563	139	1206
1839	313	1651	1536	885	1557	1243	375	400	775	85	974	1636	1904	1808	996	329	1668	468	1572
403	214	1363	1430	988	730	113	1160	694	821	1893	1621	371	1539	1979	1897	10	1698	1458	1938
332	169	1228	442	1307	150	1610	522	1745	1659	1268	1643	369	1396	440	1567	432	1112	1794	348
710	1926	716	647	345	1791	700	1174	666	1330	539	419	745	509	203	147	1720	243	595	708
68	575	133	699	1127	49	545	7	722	1280	1551	1406	914	1270	976	664	727	421	1439	135
1420	756	1227	1446	1956	1331	1831	486	1704	983	811	1092	571	1084	401	1882	1950	1939	177	502
903	643	1073	438	836	1725	1531	1578	140	733	1427	41	1166	1097	1558	405	680	925	485	869
-------------------------------------------------------
Primary job  terminated normally, but 1 process returned
a non-zero exit code.. Per user-direction, the job has been aborted.
-------------------------------------------------------
--------------------------------------------------------------------------
mpirun detected that one or more processes exited with non-zero status, thus causing
the job to be terminated. The first process to do so was:

  Process name: [[4896,1],0]
  Exit code:    1
--------------------------------------------------------------------------
